Project Name,Industry,Project Type,Description,Services Provided,Key Features,Frontend Tech,Backend Tech,URL,Origin
Light Brand Consulting,AI Business Transformation,Consulting / Landing site,Consulting service designing AI intelligence systems for businesses,AI Diagnostics; Business-Specific AI Engines; Founder Leverage Systems,AI Readiness Assessment; newsletter; testimonials; efficiency metrics,Next.js / React,Not specified,https://light-brand-consulting.vercel.app/,US
Iboga Life,Sacred Healing / Plant Medicine,Personal / Healing site,Site focused on sacred healing experiences with Iboga,Healing sessions / retreats,Practitioner bio; session info,Next.js / React,Not specified,https://iboga-life.vercel.app/,US
NeuroTracker X,Cognitive Enhancement / Wellness,Demo / Landing page,Platform for cognitive training to enhance human performance,Cognitive training subscriptions,Three demo editions: ELITE; CLINICAL; HUMAN,Next.js / React,Not specified,https://ntx8.vercel.app/,US
Light Field Institute,Biofield Research / Consciousness,Institute / Community site,Digital ecosystem bridging intuitive wisdom and consciousness education,Aura readings; energy sessions; courses,Session packages; weekly field notes; Practice/Education sections,Custom (likely React),Not specified,https://www.lightfield.institute/,US
Mindflow Vision,Technical / Vision Platform,Technical whitepaper site,Site presenting a technical whitepaper for Mindflow,Not explicitly listed,Whitepaper content,Next.js / React,Not specified,https://mindflow-vision.vercel.app/,CY
The Planetary Party,Regenerative Action / Bioregional,Community / Ecosystem site,Global web of bioregional networks for celebration and regenerative action,Protocols; tools; Flow Funds; guilds,Bioregional dashboards; Five-Phase Protocol; node exploration,Next.js / React,Not specified,https://planetary-party.vercel.app/,US
Love Token,Love Economy / Social Experiment,Circular Economy platform,World's first Love Economy experiment with meditation and intention,Guided meditations; subscriptions; credit redemption,Meditation tracking; credit circulation metrics; impact stories,Next.js / React,Not specified,https://love-token.vercel.app/,US
Lightwaves Energy,Renewable Energy,Renewable Energy Services,Solar calculator and energy optimization solutions,Not specified,Solar Calculator; Energy Optimization,Next.js / React,Not specified,https://lightwaves.energy,US
Downtown Park,Real Estate Development,Real Estate Platform,Premium urban development project with modern residential spaces,Brand identity; website development; 3D visualizations,Property listings; virtual tours; investment information,React/Custom CMS,Property management system,https://www.downtown-park.com/,EU
Skyzor Productions,Video Production / Media,Production Portfolio,Professional video production company for commercial content,Brand identity; portfolio website; video player integration,Video portfolio; client testimonials; production services,Video streaming integration,Client management system,https://www.skyzorproductions.com/,EU
